;Experimental;Experimental;Experimental;Theoretical;Theoretical;Theoretical
;X_DPPC;T_solid [C];T_fluid [C];T [C];X_DPPC_lower;X_DPPC_upper
80;;;;22.002002002001973;-0.105358658000584;-0.04220666896254362
81;;;;22.02702702702703;-0.10395637486835764;-0.04169732061240025
82;;;;22.052052052052034;-0.10255448100044463;-0.04118677104208022
83;;;;22.077077077077092;-0.10115297484383066;-0.04067501795883018
84;;;;22.102102102102094;-0.09975185484540089;-0.040162059065245774
85;;;;22.127127127127153;-0.09835111945191334;-0.039647892059252364
86;;;;22.152152152152155;-0.09695076711002061;-0.03913251463410349
87;;;;22.177177177177157;-0.09555079626623869;-0.038615924478359896
88;;;;22.202202202202216;-0.09415120536696113;-0.03809811927588514
89;;;;22.227227227227218;-0.09275199285845673;-0.037579096705835285
90;;;;22.252252252252276;-0.0913531571868394;-0.037058854442637956
91;;;;22.27727727727728;-0.08995469679810064;-0.036537390155994894
